rank,count,proportion,token
1,191833.0,0.035844990917,and
2,187983.0,0.0351255984504,the
3,156415.0,0.0292269539353,i
4,140478.0,0.0262490428343,a
5,133045.0,0.024860148236,to
6,98067.0,0.0183243275362,it
7,86324.0,0.0161300870857,of
8,74682.0,0.013954719009,that
9,68782.0,0.012852273411,in
10,64010.0,0.0119606004629,you
11,58407.0,0.0109136508551,my
12,54009.0,0.0100918617466,wa
13,51058.0,0.00954045209239,is
14,43631.0,0.00815267862515,for
15,35634.0,0.00665839770183,with
16,35605.0,0.00665297890143,?
17,35575.0,0.00664737324585,on
18,35494.0,0.00663223797578,be
19,34984.0,0.00653694183086,but
20,34413.0,0.00643024751959,have
21,33887.0,0.0063319616917,me
22,31532.0,0.00589191772841,he
23,29165.0,0.00544963150289,thi
24,26954.0,0.0050364946864,like
25,26599.0,0.00497016109533,not
26,26083.0,0.0048737438193,just
27,26055.0,0.00486851187409,so
28,25812.0,0.00482310606386,your
29,23569.0,0.00440398988142,)
30,23204.0,0.00433578773849,at
31,23048.0,0.00430663832945,they
32,22907.0,0.00428029174821,as
33,22537.0,0.00421115532935,get
34,22132.0,0.00413547897898,if
35,21936.0,0.0040988553625,(
36,21367.0,0.0039925347616,are
37,20770.0,0.0038809822155,one
38,20403.0,0.00381240636219,im
39,20284.0,0.00379017059505,or
40,19803.0,0.00370029325053,when
41,19762.0,0.0036926321879,up
42,19660.0,0.00367357295892,out
43,19048.0,0.00355921758502,about
44,18948.0,0.00354053206641,do
45,18600.0,0.00347550646164,all
46,18104.0,0.00338282628933,what
47,17540.0,0.00327743996436,she
48,17274.0,0.00322773648486,dont
49,17244.0,0.00322213082927,had
50,17199.0,0.0032137223459,we
51,17155.0,0.00320550071771,peopl
52,16577.0,0.00309749842014,time
53,16549.0,0.00309226647493,would
54,16482.0,0.00307974717746,there
55,15787.0,0.00294988282311,go
56,15633.0,0.00292110712445,from
57,15142.0,0.00282936122807,her
58,14807.0,0.00276676474073,an
59,14643.0,0.0027361204902,can
60,14128.0,0.00263989006936,hi
61,13567.0,0.00253506430995,becaus
62,13149.0,0.00245695884216,no
63,13040.0,0.00243659162687,know
64,12885.0,0.00240762907302,think
65,12817.0,0.00239492292037,them
66,12662.0,0.00236596036652,make
67,12279.0,0.00229439483024,who
68,11883.0,0.00222040017654,thing
69,11883.0,0.00222040017654,by
70,11826.0,0.00220974943093,how
71,11662.0,0.00217910518041,realli
72,11536.0,0.00215556142696,were
73,11503.0,0.00214939520582,some
74,11280.0,0.00210772649932,year
75,11097.0,0.00207353200026,him
76,10992.0,0.00205391220572,then
77,10640.0,0.00198813918021,fuck
78,10562.0,0.00197356447569,more
79,10482.0,0.0019586160608,want
80,9783.0,0.00182800428571,say
81,9669.0,0.00180670279449,work
82,9665.0,0.00180595537375,got
83,9250.0,0.00172841047151,day
84,9225.0,0.00172373909186,will
85,9088.0,0.00169813993136,other
86,9006.0,0.0016828178061,good
87,8958.0,0.00167384875717,their
88,8817.0,0.00164750217593,]
89,8810.0,0.00164619418963,[
90,8731.0,0.00163143262992,now
91,8698.0,0.00162526640878,onli
92,8641.0,0.00161461566317,use
93,8350.0,0.00156024080402,look
94,8347.0,0.00155968023846,never
95,8257.0,0.00154286327171,even
96,8201.0,0.00153239938129,ha
97,8183.0,0.00152903598794,tri
98,8046.0,0.00150343682744,friend
99,8040.0,0.00150231569632,into
100,7932.0,0.00148213533622,back
